Train_No,Start_Station,End_Station,Start_Departure,End_Arrival,Total_Distance,Number_of_Stops,Journey_Duration
55803,NEW BONGAIGA,GUWAHATI,17:05:00,21:40:00,208,19,0 days 04:35:00
55804,GUWAHATI,NEW BONGAIGA,07:20:00,12:00:00,208,19,0 days 04:40:00
55809,NEW BONGAIGA,GUWAHATI,16:40:00,21:20:00,156,22,0 days 04:40:00
55810,GUWAHATI,NEW BONGAIGA,05:00:00,10:05:00,156,22,0 days 05:05:00
55811,DHUBRI,KAMAKHYA JN,07:00:00,15:10:00,309,21,0 days 08:10:00
55812,KAMAKHYA JN,DHUBRI,22:00:00,06:20:00,309,21,0 days 08:20:00
55813,DEKARGAON,MURKEONG SEL,04:05:00,13:45:00,343,42,0 days 09:40:00
55814,MURKEONG SEL,DEKARGAON,14:45:00,00:25:00,343,42,0 days 09:40:00
55817,NEW BONGAIGA,GUWAHATI,14:30:00,20:15:00,156,17,0 days 05:45:00
55818,GUWAHATI,NEW BONGAIGA,08:30:00,13:25:00,156,17,0 days 04:55:00
55819,MENDIPATHAR,GUWAHATI,07:00:00,11:40:00,126,14,0 days 04:40:00
55820,GUWAHATI,MENDIPATHAR,16:20:00,20:10:00,126,14,0 days 03:50:00
55823,RANGAPARA NO,DEKARGAON,06:00:00,06:40:00,6,4,0 days 00:40:00
55824,DEKARGAON,RANGAPARA NO,22:00:00,22:40:00,6,4,0 days 00:40:00
55861,RANGIYA JN.,DEKARGAON,12:30:00,16:40:00,95,18,0 days 04:10:00
55862,DEKARGAON,RANGIYA JN.,07:15:00,11:45:00,94,18,0 days 04:30:00
55893,RANGIYA JN.,RANGAPARA NO,18:20:00,21:25:00,89,15,0 days 03:05:00
55894,RANGAPARA NO,RANGIYA JN.,05:00:00,07:45:00,88,15,0 days 02:45:00
55895,RANGIYA JN.,MURKEONG SEL,08:15:00,20:20:00,426,53,0 days 12:05:00
55896,MURKEONG SEL,RANGIYA JN.,06:00:00,17:45:00,425,53,0 days 11:45:00
55901,LUMDING JN.,TINSUKIA JN.,06:30:00,20:00:00,336,49,0 days 13:30:00
55902,TINSUKIA JN.,LUMDING JN.,07:50:00,21:30:00,335,49,0 days 13:40:00
55903,DIMAPUR,MARIANI JN.,14:40:00,20:40:00,155,23,0 days 06:00:00
55904,MARIANI JN.,DIMAPUR,06:30:00,12:30:00,155,23,0 days 06:00:00
55909,SIMALUGURI J,DIBRUGARH TO,06:35:00,09:15:00,102,13,0 days 02:40:00
55910,DIBRUGARH TO,SIMALUGURI J,16:30:00,19:10:00,102,13,0 days 02:40:00
55913,JORHAT TOWN,TINSUKIA JN.,05:30:00,11:55:00,176,27,0 days 06:25:00
55914,TINSUKIA JN.,JORHAT TOWN,14:40:00,20:45:00,176,27,0 days 06:05:00
56001,CHENNAI CENT,ARAKKONAM JN,13:10:00,14:40:00,68,6,0 days 01:30:00
56002,ARAKKONAM JN,CHENNAI CENT,22:15:00,23:50:00,68,5,0 days 01:35:00
56003,ARAKKONAM JN,CHENGALPATTU,05:50:00,07:15:00,62,6,0 days 01:25:00
56004,CHENGALPATTU,ARAKKONAM JN,20:25:00,22:00:00,62,3,0 days 01:35:00
56005,ARAKKONAM JN,CHENGALPATTU,17:30:00,19:10:00,62,6,0 days 01:40:00
56006,CHENGALPATTU,ARAKKONAM JN,08:20:00,09:55:00,62,6,0 days 01:35:00
56007,ARAKKONAM JN,KATPADI JN,21:00:00,22:45:00,60,8,0 days 01:45:00
56008,KATPADI JN,ARAKKONAM JN,04:35:00,06:25:00,60,10,0 days 01:50:00
56009,ARAKKONAM JN,VELLORE CANT,07:10:00,09:05:00,70,13,0 days 01:55:00
56010,VELLORE CANT,ARAKKONAM JN,16:35:00,18:45:00,70,13,0 days 02:10:00
56011,ARAKKONAM JN,CUDDAPAH,07:05:00,12:40:00,193,27,0 days 05:35:00
56012,CUDDAPAH,ARAKKONAM JN,14:45:00,20:55:00,193,27,0 days 06:10:00
56013,ARAKKONAM JN,VELLORE CANT,13:05:00,15:25:00,70,14,0 days 02:20:00
56014,VELLORE CANT,ARAKKONAM JN,09:40:00,11:55:00,70,14,0 days 02:15:00
56033,MAYILADUTURA,MANNARGUDI,16:40:00,18:55:00,76,11,0 days 02:15:00
56034,MANNARGUDI,MAYILADUTURA,08:30:00,11:00:00,76,11,0 days 02:30:00
56035,TIRUCHENDUR,TIRUNELVELI,09:15:00,11:00:00,61,12,0 days 01:45:00
56036,TIRUNELVELI,TIRUCHENDUR,16:00:00,17:40:00,61,12,0 days 01:40:00
56037,CHENNAI EGMO,PONDICHERRY,06:35:00,10:55:00,196,18,0 days 04:20:00
56038,PONDICHERRY,CHENNAI EGMO,15:35:00,20:10:00,196,17,0 days 04:35:00
56041,TIRUPATI,PONDICHERRY,04:25:00,14:10:00,279,33,0 days 09:45:00
56042,PONDICHERRY,TIRUPATI,13:20:00,22:45:00,284,31,0 days 09:25:00
56043,GURUVAYUR,TRICHUR,17:10:00,17:40:00,22,3,0 days 00:30:00
56044,TRICHUR,GURUVAYUR,18:55:00,19:30:00,22,3,0 days 00:35:00
56100,ERODE JN.,METTUR DAM,05:00:00,08:25:00,99,11,0 days 03:25:00
56101,METTUR DAM,ERODE JN.,19:00:00,22:05:00,99,11,0 days 03:05:00
56102,SALEM JN.,METTUR DAM,17:30:00,18:35:00,40,4,0 days 01:05:00
56103,METTUR DAM,SALEM JN.,08:50:00,09:55:00,40,4,0 days 01:05:00
56105,SALEM JN.,KARUR JN.,06:05:00,08:15:00,84,9,0 days 02:10:00
56106,KARUR JN.,SALEM JN.,08:35:00,10:45:00,85,7,0 days 02:10:00
56107,SALEM JN.,KARUR JN.,17:30:00,19:30:00,85,7,0 days 02:00:00
56108,KARUR JN.,SALEM JN.,19:50:00,21:50:00,85,7,0 days 02:00:00
56109,TIRUCHIRAPPA,ERODE JN.,16:10:00,20:00:00,141,25,0 days 03:50:00
56110,ERODE JN.,TIRUCHIRAPPA,07:50:00,11:50:00,141,22,0 days 04:00:00
56111,JOLARPETTAI,ERODE JN.,15:10:00,19:45:00,178,23,0 days 04:35:00
56112,ERODE JN.,JOLARPETTAI,06:25:00,12:25:00,180,23,0 days 06:00:00
56113,MAYILADUTURA,TIRUCHIRAPPA,06:15:00,09:40:00,120,26,0 days 03:25:00
56114,TIRUCHIRAPPA,MAYILADUTURA,18:05:00,21:20:00,120,26,0 days 03:15:00
56115,MAYILADUTURA,THANJAVUR JN,07:15:00,09:15:00,70,17,0 days 02:00:00
56116,THANJAVUR JN,MAYILADUTURA,18:15:00,20:30:00,70,17,0 days 02:15:00
56136,METTUPALAIYA,UDHAGAMANDAL,07:10:00,12:00:00,45,7,0 days 04:50:00
56137,UDHAGAMANDAL,METTUPALAIYA,14:00:00,17:35:00,45,7,0 days 03:35:00
56138,COONOOR,UDHAGAMANDAL,16:00:00,17:15:00,18,6,0 days 01:15:00
56139,UDHAGAMANDAL,COONOOR,09:15:00,10:25:00,18,6,0 days 01:10:00
56140,UDHAGAMANDAL,COONOOR,17:30:00,18:40:00,18,6,0 days 01:10:00
56141,COONOOR,UDHAGAMANDAL,07:45:00,09:05:00,18,6,0 days 01:20:00
56142,UDHAGAMANDAL,COONOOR,12:15:00,13:20:00,18,6,0 days 01:05:00
56143,COONOOR,UDHAGAMANDAL,12:35:00,13:50:00,18,6,0 days 01:15:00
56144,COIMBATORE,METTUPALAIYA,17:55:00,18:45:00,35,4,0 days 00:50:00
56145,METTUPALAIYA,COIMBATORE,08:15:00,09:05:00,35,4,0 days 00:50:00
56146,COIMBATORE,METTUPALAIYA,09:30:00,10:20:00,35,4,0 days 00:50:00
56147,METTUPALAIYA,COIMBATORE,10:40:00,11:30:00,35,4,0 days 00:50:00
56148,COIMBATORE,METTUPALAIYA,11:50:00,12:40:00,35,4,0 days 00:50:00
56149,METTUPALAIYA,COIMBATORE,13:00:00,13:55:00,35,4,0 days 00:55:00
56150,COIMBATORE,METTUPALAIYA,15:15:00,16:05:00,35,4,0 days 00:50:00
56151,METTUPALAIYA,COIMBATORE,16:30:00,17:20:00,35,4,0 days 00:50:00
56201,CHAMRAJANAGA,MYSORE JN.,20:50:00,22:30:00,60,13,0 days 01:40:00
56202,MYSORE JN.,CHAMRAJANAGA,05:00:00,06:40:00,60,13,0 days 01:40:00
56203,CHAMRAJANAGA,MYSORE JN.,10:40:00,12:25:00,60,13,0 days 01:45:00
56204,MYSORE JN.,CHAMRAJANAGA,07:20:00,09:10:00,60,13,0 days 01:50:00
56205,NANJANGUD TO,MYSORE JN.,10:15:00,11:10:00,25,7,0 days 00:55:00
56206,MYSORE JN.,NANJANGUD TO,09:00:00,09:50:00,25,7,0 days 00:50:00
56207,CHAMRAJANAGA,MYSORE JN.,16:55:00,18:35:00,60,13,0 days 01:40:00
